predicted,actual
COMPUTE,OTHERS
MANAGEMENT,OTHERS
NETWORK,UNKNOWN
NETWORK,OTHERS
NETWORK,OTHERS
COMPUTE,OTHERS
NETWORK,UNKNOWN
NETWORK,UNKNOWN
NETWORK,OTHERS
COMPUTE,OTHERS
NETWORK,UNKNOWN
COMPUTE,OTHERS
NETWORK,OTHERS
SECURITY,
SECURITY,OTHERS
MANAGEMENT,OTHERS
UNKNOWN,OTHERS
SECURITY,OTHERS
SECURITY,OTHERS
SECURITY,OTHERS
COMPUTE,UNKNOWN
NETWORK,OTHERS
MANAGEMENT,UNKNOWN
SECURITY,OTHERS
SECURITY,OTHERS
COMPUTE,OTHERS
MANAGEMENT,DATABASE
NETWORK,UNKNOWN
OTHERS,ANALYTICS
UNKNOWN,MANAGEMENT
NETWORK,COMPUTE
MANAGEMENT,OTHERS
OTHERS,ANALYTICS
MANAGEMENT,OTHERS
